,CUSTOMER_ID,LOAN_AMOUNT,LOAN_BEHAVIOR,LOAN_START_DATE
305,42523387.1429,1794401.84,Current,2018-10-17
306,87344717.1429,822400.17,Current,2018-10-24
307,23131742.8571,3513931.67,Current,2018-10-31
308,8185288.5714,961999.41,Current,2018-12-11
309,140415828.5714,748998.35,Current,2018-12-21
310,75874500.0,3000000.23,Current,2018-12-28
311,87204342.8571,884802.42,Current,2019-01-09
312,101964787.1429,1037999.28,Current,2019-02-15
313,57264574.2857,1732079.66,Current,2019-03-08
314,74409544.2857,614250.56,Items for litigation,2019-03-18
315,7287542.8571,710398.48,Current,2019-03-26
316,114571588.5714,678400.63,Items for litigation,2019-05-09
317,25888944.2857,10749491.01,Current,2019-05-31
318,23331572.8571,587498.72,Amortization Past Due,2019-07-18
319,100128058.5714,611200.04,Current,2019-09-05
320,70589445.7143,909201.79,Current,2019-09-06
321,116750842.8571,1114999.49,Current,2019-10-24
322,52765571.4286,2449998.49,Current,2019-10-25
323,83881302.8571,771000.76,Current,2019-11-06
324,131488302.8571,569599.05,Current,2019-11-08
325,50381442.8571,3195361.06,Current,2019-11-13
326,93647101.4286,1308799.67,Amortization Past Due,2019-12-09
327,116038387.1429,2386204.59,Current,2019-11-29
328,101447385.7143,735110.24,Current,2019-12-11
329,3366887.1429,518399.24,Current,2019-12-12
330,27017287.1429,3526618.07,Current,2019-12-26
331,76918030.0,3387824.81,Current,2020-01-06
332,90053031.4286,630398.83,Current,2020-01-28
333,62751431.4286,735110.26,Amortization Past Due,2020-02-05
334,3714460.0,518398.76,Current,2020-02-19
335,110218615.7143,2216814.04,Current,2020-02-24
336,94805700.0,1759500.15,Current,2020-03-11
337,71004828.5714,686400.04,Current,2020-05-19
338,125002002.8571,735201.54,Amortization Past Due,2020-06-30
339,29162415.7143,518398.92,Current,2020-07-03
340,63769031.4286,774999.99,Current,2020-07-13
341,98601515.7143,636748.99,Amortization Past Due,2020-08-06
342,132848414.2857,888000.85,Current,2020-09-14
343,116750842.8571,710000.79,Current,2020-09-25
344,43474387.1429,2360000.32,Current,2020-09-30
345,129646857.1429,13000001.96,Current,2020-10-30
346,28010144.2857,743401.38,Current,2020-11-27
347,102830887.1429,560999.49,Current,2020-12-21
348,94805700.0,1408000.64,Current,2021-01-29
349,111621787.1429,959999.67,Current,2021-02-02
350,123616042.8571,766400.08,Current,2021-03-05
351,133058287.1429,1639998.94,Current,2021-03-11
352,132848414.2857,1418399.96,Current,2021-04-28
353,35234031.4286,999912.08,Amortization Past Due,2021-05-26
354,94805700.0,958999.26,Current,2021-05-31
355,8120715.7143,873598.37,Current,2021-06-03
356,132848414.2857,1441279.6,Current,2021-07-07
357,122773844.2857,1494499.92,Current,2021-08-03
358,32362830.0,494900.1,Current,2021-08-13
359,87344717.1429,814399.33,Current,2021-08-17
360,95749272.8571,643221.08,Principal Past Due,2021-08-18
361,75789002.8571,584501.75,Current,2021-08-25
362,130338617.1429,419930.61,Current,2021-08-27
363,66986387.1429,1034310.43,Current,2021-09-30
364,32362830.0,494899.61,Current,2021-10-07
365,42523387.1429,1035998.15,Current,2021-10-12
366,86267230.0,5853079.86,Current,2021-10-28
367,58239745.7143,720019.34,Current,2021-11-25
368,129646857.1429,7109999.54,Current,2021-11-29
369,25888944.2857,20678488.82,Current,2021-11-29
370,86267230.0,1230400.78,Current,2022-02-07
371,122111272.8571,566400.51,Current,2022-03-18
372,12216172.8571,3157480.6,Current,2022-03-29
373,132595045.7143,1048000.35,Current,2022-04-06
374,66986387.1429,1175999.29,Current,2022-04-28
375,94805700.0,2500002.17,Current,2022-04-29
376,33630574.2857,747500.13,Current,2022-05-24
377,32362830.0,1686400.83,Amortization Past Due,2022-05-26
378,55525188.5714,2703846.04,Current,2022-05-30
379,139929902.8571,972001.36,Amortization Past Due,2022-06-02
380,94700602.8571,1010800.26,Amortization Past Due,2022-06-22
381,116750842.8571,779998.73,Current,2022-06-30
382,94805700.0,704997.73,Current,2022-07-26
383,20465617.1429,823200.15,Current,2022-08-26
384,79144642.8571,571199.14,Current,2022-08-31
385,52985971.4286,962502.04,Current,2022-08-31
386,118621371.4286,936001.09,Amortization Past Due,2022-09-09
387,123650588.5714,847110.57,Current,2022-10-24
388,68723587.1429,1.12,Principal Past Due,2022-10-21
389,79471072.8571,1068999.34,Current,2022-11-07
390,37429202.8571,7999997.21,Current,2022-11-29
391,54891060.0,666399.34,Current,2022-12-13
392,69309444.2857,2044000.32,Current,2022-12-16
393,16762860.0,950398.11,Current,2022-12-20
394,130010230.0,3208166.63,Current,2022-12-28
395,20888272.8571,1275200.69,Current,2023-01-09
396,112528858.5714,767598.79,Current,2023-02-22
397,122239917.1429,1359000.15,Current,2023-02-28
398,16911645.7143,455000.69,Current,2023-03-06
399,84108415.7143,859199.79,Current,2023-03-13
400,38331672.8571,1448802.15,Current,2023-03-31
401,6599285.7143,761999.05,Current,2023-04-27
402,87204342.8571,776221.89,Current,2023-04-28
403,118291585.7143,880599.86,Current,2023-06-13
404,3902860.0,969500.35,Current,2023-06-29
405,57264574.2857,1015999.63,Current,2023-06-30
406,2175800.0,5160000.85,Current,2023-08-10
407,75874500.0,631200.75,Current,2023-08-17
408,75874500.0,846398.56,Current,2023-09-22
409,19209428.5714,1558415.13,Items for litigation,2005-02-24
410,19209428.5714,1353862.93,Items for litigation,2005-03-03
411,19909142.8571,2800000.22,Current,2008-09-04
412,111562100.0,1539300.35,Current,2009-12-10
413,49166228.5714,2150001.08,Amortization Past Due,2012-09-07
414,527630.0,1598293.61,Current,2013-10-09
415,43004630.0,1424000.59,Items for litigation,2013-10-18
416,43004630.0,1424000.3,Items for litigation,2013-10-18
417,47358000.0,1622752.43,Current,2014-07-24
418,47358000.0,77249.3,Current,2014-07-24
419,10217742.8571,1499998.7,Current,2014-08-26
420,118047372.8571,859999.43,Current,2015-01-22
421,7281014.2857,4904073.09,Current,2015-05-20
422,7281014.2857,595928.56,Current,2015-05-20
423,54182528.5714,788299.31,Current,2015-02-26
424,140986371.4286,1499999.45,Principal Past Due,2015-07-20
425,10217742.8571,2239998.16,Current,2015-09-28
426,67377015.7143,3656498.81,Amortization Past Due,2015-11-27
427,67377015.7143,243766.34,Current,2015-11-27
428,68166771.4286,4000001.41,Current,2015-12-21
429,68166771.4286,4500001.51,Current,2016-03-11
430,22596728.5714,2798401.27,Current,2016-03-16
431,22596728.5714,401599.85,Current,2016-03-16
432,68166771.4286,996411.68,Current,2016-05-19
433,68166771.4286,503589.11,Current,2016-05-19
434,139915101.4286,1451040.66,Principal Past Due,2016-09-28
435,142417972.8571,2461599.99,Current,2016-11-28
436,79243171.4286,1777349.67,Current,2016-11-29
437,111798571.4286,1209600.91,Current,2016-12-29
438,130001815.7143,4639999.2,Current,2017-04-06
439,118191587.1429,11061407.9,Current,2017-06-28
440,94554415.7143,1499999.61,Current,2017-09-15
441,53609542.8571,1284311.95,Current,2017-10-25
442,42599428.5714,3500000.04,Current,2017-12-01
443,81681801.4286,6248900.04,Amortization Past Due,2017-11-30
444,58587857.1429,2400001.67,Principal Past Due,2017-12-27
445,111798571.4286,2999999.45,Current,2017-12-28
446,45989628.5714,752799.1,Current,2015-07-15
447,53609542.8571,1679998.42,Current,2018-01-31
448,11453728.5714,549998.51,Current,2018-02-15
449,87348530.0,1745001.02,Current,2018-02-28
450,87348530.0,218125.48,Current,2018-02-28
451,42599428.5714,1500001.61,Current,2018-03-22
452,11453728.5714,529999.4,Current,2018-06-27
453,9705487.1429,2699998.47,Current,2018-08-09
454,79634158.5714,527998.99,Current,2018-10-11
455,90677800.0,1258400.84,Current,2018-12-07
456,46738115.7143,1357599.31,Current,2018-12-10
457,9536017.1429,650249.21,Current,2019-03-14
458,125264114.2857,1286398.91,Current,2019-04-25
459,133762914.2857,3788000.35,Current,2019-05-24
460,85136371.4286,2500000.79,Current,2019-05-30
461,126818944.2857,2599999.98,Amortization Past Due,2019-05-30
462,106681731.4286,1199082.16,Current,2019-06-21
463,54199160.0,499998.88,Current,2019-06-25
464,22596728.5714,3500001.25,Current,2019-06-28
465,32308160.0,1152000.31,Current,2019-08-22
466,96406371.4286,612999.58,Current,2019-08-30
467,2549914.2857,958998.71,Current,2019-09-06
468,130967957.1429,864000.17,Amortization Past Due,2019-09-10
469,68166771.4286,6000001.64,Current,2019-09-27
470,22596728.5714,4903199.23,Current,2019-09-27
471,64920887.1429,499999.65,Current,2019-09-30
472,74262930.0,895000.0,Current,2019-10-07
473,35648201.4286,659466.72,Current,2019-12-09
474,49665871.4286,612001.22,Current,2019-12-12
475,64477401.4286,1143201.13,Current,2020-01-02
476,62120242.8571,2199997.67,Current,2020-01-20
477,129145000.0,1145000.49,Current,2020-01-31
478,111798571.4286,1499997.68,Current,2020-03-19
479,64181685.7143,848000.25,Current,2020-06-30
480,112913600.0,1096321.19,Current,2020-07-24
481,40907887.1429,748800.45,Current,2020-08-12
482,78304485.7143,4738499.71,Current,2020-08-20
483,90015472.8571,588001.35,Current,2020-08-28
484,52691801.4286,1114399.78,Current,2020-09-02
485,133762914.2857,1339998.68,Current,2020-11-13
486,120513887.1429,2311848.01,Current,2020-12-11
487,91004644.2857,955999.29,Amortization Past Due,2021-01-14
488,139548588.5714,470399.57,Current,2021-01-15
489,106235071.4286,586603.58,Current,2021-01-26
490,22596728.5714,2499999.92,Current,2021-03-10
491,98515460.0,594748.24,Current,2021-03-17
492,141376031.4286,1372000.21,Current,2021-04-22
493,68166771.4286,3755780.61,Current,2021-04-26
494,68166771.4286,1470320.02,Current,2021-05-14
495,106681731.4286,1550220.25,Current,2021-06-23
496,11616130.0,688000.42,Current,2021-07-09
497,118531115.7143,207000.65,Current,2021-07-15
498,104883758.5714,450100.54,Current,2021-07-28
499,127743460.0,566400.06,Current,2021-08-13
500,127743460.0,566398.35,Current,2021-08-13
501,127743460.0,566400.18,Current,2021-08-13
502,125264114.2857,2306050.12,Current,2021-08-26
503,97363642.8571,800001.73,Current,2021-09-10
504,16089787.1429,1218001.34,Current,2021-11-24
505,22596728.5714,10000000.44,Current,2021-11-29
506,49665871.4286,996801.14,Current,2021-11-29
507,99270244.2857,1494998.38,Current,2021-12-22
508,68166771.4286,2165927.78,Current,2021-12-29
509,75169744.2857,764001.44,Current,2021-12-31
510,62452045.7143,565601.48,Current,2022-02-17
511,127743460.0,1260000.96,Current,2022-03-23
512,26279558.5714,687199.48,Amortization Past Due,2022-04-01
513,73989715.7143,3999999.93,Current,2022-04-07
514,120179574.2857,1791199.47,Current,2022-04-08
515,94676000.0,1423097.86,Current,2022-04-22
516,95593487.1429,1302400.19,Current,2022-04-27
517,114206658.5714,1992041.01,Current,2022-05-26
518,54778401.4286,510000.26,Current,2022-06-24
519,52691801.4286,932799.67,Current,2022-07-29
520,76543287.1429,1343999.55,Current,2022-08-16
521,22596728.5714,2047999.15,Current,2022-08-18
522,16521630.0,943999.3,Current,2022-08-19
523,6153871.4286,669999.34,Current,2022-08-25
524,42631587.1429,2999998.76,Current,2022-09-09
525,74262930.0,638400.87,Current,2022-09-09
526,16946444.2857,1448371.44,Current,2022-09-15
527,84922928.5714,772000.97,Current,2022-09-29
528,83285474.2857,2000000.02,Current,2022-10-06
529,33456658.5714,499998.61,Current,2022-11-25
530,28933557.1429,799199.48,Current,2022-12-13
531,92608801.4286,927109.93,Current,2022-12-16
532,141991188.5714,4529798.63,Current,2022-12-20
533,13920200.0,951199.77,Current,2022-12-21
534,49665871.4286,3999999.48,Current,2022-12-29
535,10217742.8571,785400.36,Current,2022-12-29
536,114133700.0,695110.68,Current,2023-01-26
537,76522887.1429,575199.38,Current,2023-02-23
538,81584085.7143,1279201.99,Current,2023-02-23
539,74262930.0,1640000.96,Current,2023-02-28
540,124730971.4286,1661600.64,Current,2023-03-17
541,133762914.2857,1196000.73,Current,2023-03-24
542,32013387.1429,1687198.99,Current,2023-03-24
543,28833530.0,749700.5,Amortization Past Due,2023-03-29
544,127860787.1429,1799999.84,Current,2023-04-13
545,57141772.8571,1695199.72,Current,2023-04-13
546,70607317.1429,932800.48,Current,2023-04-24
547,112715814.2857,1134749.97,Current,2023-04-28
548,107409142.8571,581601.55,Current,2023-04-28
549,107409142.8571,581601.65,Current,2023-05-05
550,25030272.8571,1008001.49,Current,2023-05-15
551,10217742.8571,919999.61,Current,2023-05-31
552,124016730.0,6808501.32,Current,2023-05-31
553,10217742.8571,840000.08,Current,2023-05-31
554,36921030.0,500000.81,Current,2023-06-05
555,138762445.7143,716799.64,Current,2023-06-16
