,CUSTOMER_ID,TRANSACTION_TYPE,QUARTER,TRANSACTION_AMOUNT
57,203502.8571,PHYSICAL,Q1 2024,447.22
58,203502.8571,PHYSICAL,Q4 2023,861.8
59,212517.1429,PHYSICAL,Q1 2024,182.43
60,213331.4286,ONLINE,Q1 2024,4087.21
61,213331.4286,ONLINE,Q4 2023,8766.69
62,213331.4286,PHYSICAL,Q1 2024,16061.76
63,213331.4286,PHYSICAL,Q4 2023,31274.87
64,219171.4286,PHYSICAL,Q1 2024,3055.02
65,219171.4286,PHYSICAL,Q4 2023,27662.98
66,224431.4286,ONLINE,Q1 2024,653.04
67,225288.5714,PHYSICAL,Q1 2024,12729.93
68,231215.7143,PHYSICAL,Q1 2024,10138.31
69,231215.7143,PHYSICAL,Q4 2023,4059.84
70,238858.5714,PHYSICAL,Q1 2024,36925.36
71,238858.5714,PHYSICAL,Q4 2023,52734.39
72,248017.1429,PHYSICAL,Q1 2024,990.01
73,248017.1429,PHYSICAL,Q4 2023,9592.39
74,265530.0,ONLINE,Q1 2024,5666.78
75,265530.0,ONLINE,Q4 2023,6742.79
76,265530.0,PHYSICAL,Q4 2023,7839.51
77,271630.0,PHYSICAL,Q4 2023,8736.51
78,278244.2857,ONLINE,Q1 2024,10001.68
79,278244.2857,ONLINE,Q4 2023,29618.45
80,278244.2857,PHYSICAL,Q1 2024,3336.48
81,278244.2857,PHYSICAL,Q4 2023,8074.22
82,285344.2857,PHYSICAL,Q1 2024,2017.3799999999999
83,285344.2857,PHYSICAL,Q4 2023,2956.26
84,297572.8571,PHYSICAL,Q1 2024,2260.58
85,297572.8571,PHYSICAL,Q4 2023,1778.64
86,297858.5714,ONLINE,Q1 2024,134162.01
87,297858.5714,ONLINE,Q4 2023,28377.35
88,297858.5714,PHYSICAL,Q1 2024,66392.6
89,297858.5714,PHYSICAL,Q4 2023,2343.24
90,343617.1429,ONLINE,Q4 2023,0.49
91,343617.1429,PHYSICAL,Q4 2023,1.53
92,350487.1429,PHYSICAL,Q4 2023,699.0
93,366700.0,PHYSICAL,Q4 2023,1158.14
94,373045.7143,PHYSICAL,Q1 2024,636.17
95,389202.8571,PHYSICAL,Q1 2024,6105.97
96,389202.8571,PHYSICAL,Q4 2023,5165.86
97,393645.7143,ONLINE,Q1 2024,3749.2700000000004
98,393645.7143,ONLINE,Q4 2023,8058.6
99,393645.7143,PHYSICAL,Q1 2024,740.69
100,393645.7143,PHYSICAL,Q4 2023,4897.03
101,397288.5714,ONLINE,Q1 2024,111.43
102,397288.5714,PHYSICAL,Q4 2023,14363.71
103,398472.8571,PHYSICAL,Q1 2024,25831.85
104,398472.8571,PHYSICAL,Q4 2023,126261.54000000001
105,400302.8571,PHYSICAL,Q1 2024,12852.18
106,400302.8571,PHYSICAL,Q4 2023,25792.79
107,410017.1429,PHYSICAL,Q1 2024,6917.46
108,410017.1429,PHYSICAL,Q4 2023,1057.13
109,413258.5714,PHYSICAL,Q1 2024,6725.07
110,413258.5714,PHYSICAL,Q4 2023,4320.34
111,418317.1429,PHYSICAL,Q4 2023,11013.75
112,438730.0,PHYSICAL,Q1 2024,860.64
113,445602.8571,PHYSICAL,Q1 2024,6631.85
114,445602.8571,PHYSICAL,Q4 2023,11015.83
115,450128.5714,PHYSICAL,Q1 2024,28605.67
116,450128.5714,PHYSICAL,Q4 2023,9427.49
117,450387.1429,ONLINE,Q1 2024,47952.01
118,450387.1429,PHYSICAL,Q1 2024,5673.1900000000005
119,459445.7143,ONLINE,Q4 2023,0.36
120,459445.7143,PHYSICAL,Q1 2024,3499.76
121,459445.7143,PHYSICAL,Q4 2023,1059.73
122,463774.2857,PHYSICAL,Q4 2023,6345.969999999999
123,467888.5714,ONLINE,Q1 2024,8099.9
124,467888.5714,ONLINE,Q4 2023,8100.47
125,467888.5714,PHYSICAL,Q1 2024,14230.61
126,470930.0,PHYSICAL,Q1 2024,33102.34
127,470930.0,PHYSICAL,Q4 2023,24714.17
128,485474.2857,ONLINE,Q1 2024,1249.52
129,485474.2857,PHYSICAL,Q4 2023,2989.2
130,490358.5714,PHYSICAL,Q4 2023,388.41
131,517717.1429,ONLINE,Q4 2023,0.68
132,522387.1429,ONLINE,Q1 2024,1235.22
133,522387.1429,ONLINE,Q4 2023,3630.15
134,522387.1429,PHYSICAL,Q1 2024,1608.7600000000002
135,522387.1429,PHYSICAL,Q4 2023,39322.64
136,522874.2857,PHYSICAL,Q4 2023,534.17
137,523460.0,PHYSICAL,Q1 2024,7874.76
138,523460.0,PHYSICAL,Q4 2023,10834.09
139,527630.0,PHYSICAL,Q1 2024,850.61
140,535085.7143,ONLINE,Q1 2024,3143.41
141,535085.7143,PHYSICAL,Q1 2024,16106.94
142,535085.7143,PHYSICAL,Q4 2023,2532.48
143,549217.1429,PHYSICAL,Q1 2024,3023.6099999999997
144,549217.1429,PHYSICAL,Q4 2023,4433.03
145,556015.7143,PHYSICAL,Q1 2024,2069.44
146,556015.7143,PHYSICAL,Q4 2023,6109.379999999999
147,560258.5714,PHYSICAL,Q1 2024,5129.51
148,569801.4286,PHYSICAL,Q4 2023,1118.89
149,580301.4286,PHYSICAL,Q1 2024,7631.43
150,580301.4286,PHYSICAL,Q4 2023,18462.54
151,588360.0,ONLINE,Q1 2024,1331.61
152,588360.0,ONLINE,Q4 2023,849.8499999999999
153,588360.0,PHYSICAL,Q4 2023,4015.15
154,591888.5714,ONLINE,Q1 2024,11340.01
155,591888.5714,ONLINE,Q4 2023,19624.86
156,591888.5714,PHYSICAL,Q1 2024,8998.27
157,591888.5714,PHYSICAL,Q4 2023,37942.11
158,592642.8571,PHYSICAL,Q1 2024,8860.74
159,592642.8571,PHYSICAL,Q4 2023,43741.24
160,595288.5714,PHYSICAL,Q1 2024,5736.82
161,595987.1429,PHYSICAL,Q1 2024,3.27
162,599017.1429,PHYSICAL,Q4 2023,254.85
163,603430.0,PHYSICAL,Q1 2024,15853.779999999999
164,603430.0,PHYSICAL,Q4 2023,6822.43
165,609188.5714,PHYSICAL,Q1 2024,10090.14
166,609188.5714,PHYSICAL,Q4 2023,9063.63
167,609942.8571,PHYSICAL,Q1 2024,2839.56
168,609942.8571,PHYSICAL,Q4 2023,1188.5
169,613331.4286,ONLINE,Q1 2024,2998.94
170,613331.4286,ONLINE,Q4 2023,2999.66
171,613331.4286,PHYSICAL,Q1 2024,2211.29
172,613331.4286,PHYSICAL,Q4 2023,3935.2200000000003
173,613488.5714,PHYSICAL,Q1 2024,1643.3899999999999
174,615788.5714,PHYSICAL,Q4 2023,185.25
175,615958.5714,ONLINE,Q1 2024,2057.92
176,615958.5714,ONLINE,Q4 2023,18083.15
177,615958.5714,PHYSICAL,Q1 2024,5102.39
178,615958.5714,PHYSICAL,Q4 2023,7934.37
179,619188.5714,ONLINE,Q1 2024,1904.22
180,625902.8571,PHYSICAL,Q1 2024,6337.49
181,625902.8571,PHYSICAL,Q4 2023,1167.9499999999998
182,637588.5714,ONLINE,Q1 2024,21.78
183,637588.5714,ONLINE,Q4 2023,3909.4
184,644514.2857,ONLINE,Q1 2024,48860.18
185,644514.2857,ONLINE,Q4 2023,35993.37
186,644514.2857,PHYSICAL,Q1 2024,145080.41
187,644514.2857,PHYSICAL,Q4 2023,330410.1
188,644772.8571,ONLINE,Q4 2023,8969.48
189,646474.2857,PHYSICAL,Q1 2024,5698.81
190,646474.2857,PHYSICAL,Q4 2023,3014.07
191,648745.7143,ONLINE,Q1 2024,2970.3399999999997
192,648745.7143,ONLINE,Q4 2023,600.8
193,652431.4286,ONLINE,Q4 2023,1367.69
194,655860.0,PHYSICAL,Q1 2024,9268.71
195,655860.0,PHYSICAL,Q4 2023,3632.68
196,656115.7143,PHYSICAL,Q1 2024,14193.160000000002
197,674031.4286,ONLINE,Q1 2024,499.12
198,674031.4286,ONLINE,Q4 2023,5215.91
199,674031.4286,PHYSICAL,Q1 2024,1042.55
200,674031.4286,PHYSICAL,Q4 2023,1777.9499999999998
201,674317.1429,ONLINE,Q1 2024,2640.32
202,674317.1429,ONLINE,Q4 2023,792.81
203,674317.1429,PHYSICAL,Q1 2024,1687.6100000000001
204,675685.7143,ONLINE,Q1 2024,1951.6
205,675685.7143,ONLINE,Q4 2023,1949.49
206,675685.7143,PHYSICAL,Q1 2024,6313.18
207,675685.7143,PHYSICAL,Q4 2023,25912.36
208,704771.4286,PHYSICAL,Q1 2024,18781.239999999998
209,704771.4286,PHYSICAL,Q4 2023,8467.47
210,708602.8571,ONLINE,Q1 2024,816.54
211,721515.7143,PHYSICAL,Q1 2024,429.48999999999995
212,721515.7143,PHYSICAL,Q4 2023,4628.68
213,723160.0,ONLINE,Q1 2024,1250.26
214,729730.0,PHYSICAL,Q1 2024,817.4300000000001
215,729730.0,PHYSICAL,Q4 2023,2645.3
216,739728.5714,PHYSICAL,Q1 2024,468.78
217,742271.4286,PHYSICAL,Q1 2024,18388.27
218,742271.4286,PHYSICAL,Q4 2023,2117.79
219,745331.4286,ONLINE,Q1 2024,1596.25
220,745331.4286,ONLINE,Q4 2023,4855.29
221,745331.4286,PHYSICAL,Q1 2024,2058.25
222,762542.8571,PHYSICAL,Q1 2024,4957.6
223,762542.8571,PHYSICAL,Q4 2023,3589.51
224,762945.7143,PHYSICAL,Q1 2024,542.69
225,762945.7143,PHYSICAL,Q4 2023,2071.05
226,771057.1429,PHYSICAL,Q1 2024,27757.8
227,771057.1429,PHYSICAL,Q4 2023,32216.52
228,772045.7143,PHYSICAL,Q1 2024,1388.45
229,772045.7143,PHYSICAL,Q4 2023,1096.41
230,773788.5714,PHYSICAL,Q1 2024,12132.85
231,773788.5714,PHYSICAL,Q4 2023,4990.18
232,789730.0,PHYSICAL,Q1 2024,499.1
233,789730.0,PHYSICAL,Q4 2023,1931.21
234,791588.5714,PHYSICAL,Q1 2024,5095.87
235,791588.5714,PHYSICAL,Q4 2023,1581.6399999999999
236,799931.4286,PHYSICAL,Q4 2023,1627.12
237,803300.0,PHYSICAL,Q1 2024,29999.66
238,803300.0,PHYSICAL,Q4 2023,998.41
239,815145.7143,PHYSICAL,Q4 2023,2200.13
240,817085.7143,PHYSICAL,Q1 2024,12049.22
241,817085.7143,PHYSICAL,Q4 2023,1126.27
242,817660.0,PHYSICAL,Q1 2024,4100.43
243,818744.2857,ONLINE,Q1 2024,25952.16
244,818744.2857,ONLINE,Q4 2023,25949.37
245,821157.1429,PHYSICAL,Q1 2024,8298.38
246,821157.1429,PHYSICAL,Q4 2023,10997.91
247,822645.7143,PHYSICAL,Q1 2024,1997.61
248,824942.8571,PHYSICAL,Q1 2024,102945.49
249,824942.8571,PHYSICAL,Q4 2023,105606.25
250,839372.8571,PHYSICAL,Q1 2024,9592.88
251,839372.8571,PHYSICAL,Q4 2023,27797.660000000003
252,845217.1429,ONLINE,Q1 2024,389.24
253,845217.1429,ONLINE,Q4 2023,389.28
254,845217.1429,PHYSICAL,Q1 2024,2374.69
255,854760.0,ONLINE,Q1 2024,2245.86
256,854760.0,ONLINE,Q4 2023,2182.9
257,856460.0,PHYSICAL,Q1 2024,253.98
258,856460.0,PHYSICAL,Q4 2023,822.41
259,858214.2857,PHYSICAL,Q1 2024,498.72
260,858214.2857,PHYSICAL,Q4 2023,5713.26
261,861672.8571,PHYSICAL,Q1 2024,11002.0
262,861672.8571,PHYSICAL,Q4 2023,399.86
263,867272.8571,PHYSICAL,Q1 2024,24780.92
264,867272.8571,PHYSICAL,Q4 2023,10087.6
265,867687.1429,ONLINE,Q1 2024,8355.74
266,867687.1429,ONLINE,Q4 2023,1561.02
267,877158.5714,ONLINE,Q4 2023,9349.72
268,877158.5714,PHYSICAL,Q1 2024,16790.95
269,877158.5714,PHYSICAL,Q4 2023,4762.03
270,879774.2857,PHYSICAL,Q1 2024,6132.83
271,879774.2857,PHYSICAL,Q4 2023,8507.16
272,880958.5714,PHYSICAL,Q4 2023,965.85
273,881217.1429,PHYSICAL,Q1 2024,3001.67
274,881217.1429,PHYSICAL,Q4 2023,2316.54
275,885658.5714,ONLINE,Q1 2024,70041.77
276,885658.5714,ONLINE,Q4 2023,78539.99
277,885658.5714,PHYSICAL,Q1 2024,27002.84
278,885658.5714,PHYSICAL,Q4 2023,103221.28
279,898801.4286,PHYSICAL,Q1 2024,73306.43
280,937174.2857,ONLINE,Q1 2024,9000.27
281,938344.2857,ONLINE,Q1 2024,2597.87
282,938344.2857,ONLINE,Q4 2023,1353.53
283,942017.1429,PHYSICAL,Q1 2024,7504.0599999999995
284,942017.1429,PHYSICAL,Q4 2023,7800.49
285,944258.5714,PHYSICAL,Q1 2024,8219.86
286,944258.5714,PHYSICAL,Q4 2023,6545.86
287,949972.8571,PHYSICAL,Q4 2023,134.79
288,951687.1429,PHYSICAL,Q1 2024,1944.32
289,951687.1429,PHYSICAL,Q4 2023,1608.73
290,992257.1429,PHYSICAL,Q1 2024,27033.26
291,992257.1429,PHYSICAL,Q4 2023,54846.76
292,995431.4286,ONLINE,Q1 2024,2593.77
293,998317.1429,PHYSICAL,Q1 2024,75484.55
294,998317.1429,PHYSICAL,Q4 2023,1000.66
295,1030060.0,PHYSICAL,Q1 2024,764.35
296,1036174.2857,PHYSICAL,Q1 2024,223.0
297,1036174.2857,PHYSICAL,Q4 2023,6915.5599999999995
298,1051774.2857,ONLINE,Q1 2024,3356.23
299,1051774.2857,ONLINE,Q4 2023,211.37
300,1051774.2857,PHYSICAL,Q1 2024,3067.85
301,1051774.2857,PHYSICAL,Q4 2023,3428.08
302,1065844.2857,PHYSICAL,Q1 2024,30476.44
303,1065844.2857,PHYSICAL,Q4 2023,7841.9400000000005
304,1069202.8571,ONLINE,Q1 2024,1248.75
305,1069202.8571,ONLINE,Q4 2023,1249.88
306,1093630.0,PHYSICAL,Q1 2024,16616.26
307,1093630.0,PHYSICAL,Q4 2023,3896.79
308,1095258.5714,ONLINE,Q4 2023,44397.02
309,1095258.5714,PHYSICAL,Q1 2024,9922.14
310,1095258.5714,PHYSICAL,Q4 2023,12103.939999999999
311,1096874.2857,PHYSICAL,Q1 2024,5367.96
312,1096874.2857,PHYSICAL,Q4 2023,16434.29
313,1109044.2857,ONLINE,Q4 2023,19299.84
314,1109044.2857,PHYSICAL,Q1 2024,38329.78
315,1109044.2857,PHYSICAL,Q4 2023,152166.78
316,1116358.5714,ONLINE,Q1 2024,14666.09
317,1116358.5714,ONLINE,Q4 2023,4626.21
318,1116358.5714,PHYSICAL,Q1 2024,7633.950000000001
319,1116358.5714,PHYSICAL,Q4 2023,12132.1
320,1123645.7143,PHYSICAL,Q1 2024,13703.03
321,1123645.7143,PHYSICAL,Q4 2023,4384.07
322,1128515.7143,PHYSICAL,Q1 2024,4856.69
323,1128515.7143,PHYSICAL,Q4 2023,32717.63
324,1131574.2857,PHYSICAL,Q1 2024,606.36
325,1133588.5714,PHYSICAL,Q4 2023,1299.62
326,1135288.5714,PHYSICAL,Q1 2024,1277.4
327,1141472.8571,ONLINE,Q1 2024,-0.9299999999999999
328,1141472.8571,ONLINE,Q4 2023,254.97000000000003
329,1141472.8571,PHYSICAL,Q4 2023,798.0
330,1142017.1429,PHYSICAL,Q1 2024,36105.740000000005
331,1142017.1429,PHYSICAL,Q4 2023,54702.61
332,1147588.5714,ONLINE,Q1 2024,4583.47
333,1147588.5714,ONLINE,Q4 2023,3776.47
334,1147588.5714,PHYSICAL,Q1 2024,1518.02
335,1159971.4286,PHYSICAL,Q4 2023,2725.95
336,1176058.5714,PHYSICAL,Q1 2024,13198.800000000001
337,1176058.5714,PHYSICAL,Q4 2023,37535.94
338,1178515.7143,PHYSICAL,Q1 2024,11034.09
339,1178515.7143,PHYSICAL,Q4 2023,10611.35
340,1182217.1429,ONLINE,Q1 2024,1070.4
341,1182217.1429,ONLINE,Q4 2023,99.94999999999999
342,1182217.1429,PHYSICAL,Q1 2024,232.05
343,1182217.1429,PHYSICAL,Q4 2023,8690.4
344,1184072.8571,ONLINE,Q1 2024,2068.99
345,1203445.7143,ONLINE,Q1 2024,703.38
346,1203445.7143,ONLINE,Q4 2023,763.2900000000001
347,1222972.8571,PHYSICAL,Q1 2024,6297.96
348,1222972.8571,PHYSICAL,Q4 2023,3229.51
349,1229528.5714,PHYSICAL,Q4 2023,12802.16
350,1231101.4286,PHYSICAL,Q1 2024,14032.41
351,1236002.8571,PHYSICAL,Q1 2024,7429.22
352,1236002.8571,PHYSICAL,Q4 2023,9354.39
353,1237760.0,ONLINE,Q1 2024,16700.22
354,1239530.0,PHYSICAL,Q4 2023,8766.19
355,1244145.7143,PHYSICAL,Q1 2024,1195.95
356,1244145.7143,PHYSICAL,Q4 2023,2190.53
357,1248358.5714,ONLINE,Q4 2023,26105.91
358,1248358.5714,PHYSICAL,Q1 2024,63069.9
359,1248358.5714,PHYSICAL,Q4 2023,52976.21
360,1255142.8571,PHYSICAL,Q1 2024,8665.39
361,1267217.1429,PHYSICAL,Q4 2023,16288.960000000001
362,1276544.2857,ONLINE,Q4 2023,3478.44
363,1276544.2857,PHYSICAL,Q1 2024,682.59
364,1276544.2857,PHYSICAL,Q4 2023,1503.38
365,1284015.7143,PHYSICAL,Q1 2024,1800.01
366,1291885.7143,ONLINE,Q1 2024,9367.09
367,1291885.7143,PHYSICAL,Q1 2024,10931.0
368,1291885.7143,PHYSICAL,Q4 2023,36961.04
369,1292830.0,ONLINE,Q1 2024,2249.87
370,1292830.0,ONLINE,Q4 2023,3810.95
371,1292830.0,PHYSICAL,Q1 2024,8535.76
372,1292830.0,PHYSICAL,Q4 2023,21620.0
373,1296130.0,ONLINE,Q1 2024,4430.39
374,1296130.0,ONLINE,Q4 2023,2032.03
375,1319460.0,PHYSICAL,Q4 2023,18978.18
376,1320288.5714,PHYSICAL,Q1 2024,6578.34
377,1320288.5714,PHYSICAL,Q4 2023,17829.239999999998
378,1326202.8571,ONLINE,Q1 2024,2956.8
379,1326202.8571,ONLINE,Q4 2023,112.77999999999999
380,1326202.8571,PHYSICAL,Q1 2024,1321.64
381,1330571.4286,PHYSICAL,Q4 2023,1094.43
382,1345514.2857,PHYSICAL,Q1 2024,21675.68
383,1345514.2857,PHYSICAL,Q4 2023,4190.860000000001
384,1350917.1429,PHYSICAL,Q1 2024,3567.58
385,1350917.1429,PHYSICAL,Q4 2023,989.4300000000001
386,1369731.4286,PHYSICAL,Q4 2023,3227.35
387,1390200.0,PHYSICAL,Q1 2024,15938.55
388,1390200.0,PHYSICAL,Q4 2023,6423.42
389,1405174.2857,ONLINE,Q1 2024,20672.61
390,1405174.2857,ONLINE,Q4 2023,14580.949999999999
391,1405174.2857,PHYSICAL,Q1 2024,2238.5299999999997
392,1405174.2857,PHYSICAL,Q4 2023,5756.7300000000005
393,1408617.1429,PHYSICAL,Q1 2024,960.64
394,1408617.1429,PHYSICAL,Q4 2023,1388.6
395,1419074.2857,ONLINE,Q1 2024,148.03
396,1419074.2857,PHYSICAL,Q1 2024,959.33
397,1419074.2857,PHYSICAL,Q4 2023,2273.53
398,1420942.8571,ONLINE,Q1 2024,1299.44
399,1420942.8571,ONLINE,Q4 2023,1950.54
400,1429157.1429,PHYSICAL,Q1 2024,53076.44
401,1429157.1429,PHYSICAL,Q4 2023,37592.8
402,1429501.4286,ONLINE,Q1 2024,7435.4800000000005
403,1429501.4286,ONLINE,Q4 2023,4372.2
404,1429501.4286,PHYSICAL,Q1 2024,17939.63
405,1429501.4286,PHYSICAL,Q4 2023,28956.49
406,1434774.2857,PHYSICAL,Q1 2024,9684.36
407,1434774.2857,PHYSICAL,Q4 2023,8343.93
408,1439272.8571,PHYSICAL,Q1 2024,11332.18
409,1439272.8571,PHYSICAL,Q4 2023,4009.41
410,1445257.1429,ONLINE,Q1 2024,5515.36
411,1445257.1429,ONLINE,Q4 2023,8449.48
412,1445257.1429,PHYSICAL,Q1 2024,7815.28
413,1445257.1429,PHYSICAL,Q4 2023,3108.93
414,1454315.7143,PHYSICAL,Q4 2023,3396.7
415,1455828.5714,ONLINE,Q1 2024,1312.64
416,1455828.5714,PHYSICAL,Q1 2024,22199.61
417,1455828.5714,PHYSICAL,Q4 2023,53960.65
418,1457787.1429,PHYSICAL,Q1 2024,5285.63
419,1457787.1429,PHYSICAL,Q4 2023,11778.529999999999
420,1458345.7143,ONLINE,Q1 2024,1232.8400000000001
421,1458345.7143,ONLINE,Q4 2023,3644.68
422,1458345.7143,PHYSICAL,Q1 2024,3361.46
423,1458345.7143,PHYSICAL,Q4 2023,441.96
424,1484445.7143,PHYSICAL,Q1 2024,1426.88
425,1484445.7143,PHYSICAL,Q4 2023,1925.21
426,1494530.0,PHYSICAL,Q1 2024,895.78
427,1522945.7143,PHYSICAL,Q1 2024,3861.41
428,1522945.7143,PHYSICAL,Q4 2023,3999.3
429,1526615.7143,PHYSICAL,Q4 2023,872.11
430,1527488.5714,ONLINE,Q1 2024,5752.37
431,1527488.5714,ONLINE,Q4 2023,15041.07
432,1527488.5714,PHYSICAL,Q1 2024,17484.100000000002
433,1527488.5714,PHYSICAL,Q4 2023,1317.73
434,1529331.4286,PHYSICAL,Q4 2023,5887.13
435,1548502.8571,PHYSICAL,Q1 2024,4047.99
436,1548502.8571,PHYSICAL,Q4 2023,11753.44
437,1572660.0,PHYSICAL,Q1 2024,768.29
438,1582971.4286,PHYSICAL,Q1 2024,2413.0099999999998
439,1582971.4286,PHYSICAL,Q4 2023,5991.72
440,1588945.7143,PHYSICAL,Q1 2024,510.15
441,1589931.4286,PHYSICAL,Q1 2024,46.7
442,1589931.4286,PHYSICAL,Q4 2023,560.41
443,1594101.4286,ONLINE,Q1 2024,730.03
444,1594101.4286,ONLINE,Q4 2023,-0.05
445,1594101.4286,PHYSICAL,Q1 2024,982.76
446,1594101.4286,PHYSICAL,Q4 2023,8762.83
447,1614815.7143,ONLINE,Q1 2024,1166.72
448,1615672.8571,ONLINE,Q1 2024,47939.53
449,1615672.8571,ONLINE,Q4 2023,46701.62
450,1615672.8571,PHYSICAL,Q1 2024,6091.36
451,1615672.8571,PHYSICAL,Q4 2023,6990.3099999999995
452,1622658.5714,PHYSICAL,Q1 2024,643.8199999999999
453,1622658.5714,PHYSICAL,Q4 2023,1286.45
454,1631872.8571,PHYSICAL,Q1 2024,208.18
455,1632160.0,PHYSICAL,Q4 2023,4000.31
456,1643574.2857,PHYSICAL,Q4 2023,279.92
457,1645917.1429,PHYSICAL,Q1 2024,3605.85
458,1645917.1429,PHYSICAL,Q4 2023,4630.43
459,1656114.2857,PHYSICAL,Q1 2024,9728.01
460,1656114.2857,PHYSICAL,Q4 2023,5999.65
461,1657474.2857,PHYSICAL,Q1 2024,16005.970000000001
462,1657474.2857,PHYSICAL,Q4 2023,6675.58
463,1658217.1429,ONLINE,Q1 2024,208.4
464,1658217.1429,ONLINE,Q4 2023,13710.99
465,1658217.1429,PHYSICAL,Q1 2024,1402.06
466,1658217.1429,PHYSICAL,Q4 2023,428.88
467,1659458.5714,PHYSICAL,Q1 2024,13337.27
468,1661317.1429,ONLINE,Q1 2024,19947.66
469,1661317.1429,ONLINE,Q4 2023,23374.66
470,1661317.1429,PHYSICAL,Q1 2024,9349.72
471,1661317.1429,PHYSICAL,Q4 2023,78125.65
472,1685044.2857,PHYSICAL,Q4 2023,88.08
473,1687501.4286,PHYSICAL,Q4 2023,2026.27
474,1702360.0,PHYSICAL,Q1 2024,417.71999999999997
475,1702360.0,PHYSICAL,Q4 2023,2141.2
476,1702772.8571,PHYSICAL,Q4 2023,449.73
477,1708542.8571,PHYSICAL,Q4 2023,653.74
478,1715745.7143,ONLINE,Q4 2023,2796.15
479,1715745.7143,PHYSICAL,Q1 2024,1360.67
480,1715745.7143,PHYSICAL,Q4 2023,11319.310000000001
481,1722587.1429,PHYSICAL,Q1 2024,5592.31
482,1722587.1429,PHYSICAL,Q4 2023,10438.58
483,1736074.2857,PHYSICAL,Q4 2023,8215.12
484,1749631.4286,PHYSICAL,Q1 2024,6001.88
485,1749631.4286,PHYSICAL,Q4 2023,8000.1
486,1767874.2857,PHYSICAL,Q1 2024,11282.13
487,1767874.2857,PHYSICAL,Q4 2023,5906.12
488,1778772.8571,PHYSICAL,Q4 2023,605.7
489,1784844.2857,PHYSICAL,Q1 2024,1565.04
490,1784844.2857,PHYSICAL,Q4 2023,8662.390000000001
491,1788217.1429,PHYSICAL,Q1 2024,2351.36
492,1788217.1429,PHYSICAL,Q4 2023,432.94
493,1789115.7143,ONLINE,Q4 2023,18925.72
494,1789115.7143,PHYSICAL,Q1 2024,3982.58
495,1789115.7143,PHYSICAL,Q4 2023,4615.64
