CUSTOMER_ID,BANK_TENURE,SEC,DIGITAL_INDICATOR,CUSTOMER_LOCATION,AGE,GENDER,EDUCATION,MONTHLY_INCOME,QUARTER,TRANSACTION_AMOUNT_DEBIT,TRANSACTION_AMOUNT_CC,TRANSACTION_AMOUNT_IBFT,AUTO_LOAN_INDICATOR,HOUSING_LOAN_INDICATOR,SAVINGS_ACCOUNT_INDICATOR,CUSTOMER_SEGMENT,TOTAL_BALANCE,CURRENT_MONTH_BILLING,PREVIOUS_MONTH_BILLING,REVOLVING_BALANCE,LOAN_BEHAVIOR,LOAN_AMOUNT
2257160.0,3.82,6,0,REGION IV-A (CALABARZON),44.55,1.0,2,136319.22,Q1 2024,53634.939999999995,11238.75,166207.85,3,0,3,3,98810.18,16331.7,81270.44,78532.89,3,1113998.47
2257160.0,3.82,6,0,REGION IV-A (CALABARZON),44.55,1.0,2,136319.22,Q4 2023,16378.3,103174.65,110500.52,3,0,3,3,98810.18,16331.7,81270.44,78532.89,3,1113998.47
2290002.8571,5.64,4,1,REGION XI (DAVAO REGION),30.59,0.0,2,69358.96,Q1 2024,2786.45,23103.41,8982.55,0,0,3,6,0.26,0.26,0.26,0.26,3,39999.78
2295201.4286,9.96,7,1,CORDILLERA ADMINISTRATIVE REGION (CAR),34.47,0.0,2,8243481.41,Q4 2023,41947.58,40674.24,4521920.35,0,0,3,2,63717.56,17740.24,52145.58,54948.32,3,71999.65
2380030.0,13.23,3,1,NATIONAL CAPITAL REGION,61.9,0.0,2,31350.53,Q1 2024,300.23,5723.65,99.57,0,0,3,6,-0.15,-0.15,-0.15,-0.15,3,35000.99
2380030.0,13.23,3,1,NATIONAL CAPITAL REGION,61.9,0.0,2,31350.53,Q4 2023,740.29,31116.43,4737.75,0,0,3,6,-0.15,-0.15,-0.15,-0.15,3,35000.99
2471615.7143,11.01,5,0,NATIONAL CAPITAL REGION,42.37,0.0,2,124393.95,Q1 2024,1786.77,53932.46,129139.02,3,0,3,5,67864.81,503.91,12359.43,-0.09,3,749700.11
2471615.7143,11.01,5,0,NATIONAL CAPITAL REGION,42.37,0.0,2,124393.95,Q4 2023,8096.92,56376.659999999996,82772.96,3,0,3,5,67864.81,503.91,12359.43,-0.09,3,749700.11
2713230.0,9.05,2,0,REGION II (CAGAYAN VALLEY),30.93,0.0,1,21106.92,Q4 2023,1714.99,8084.04,23297.68,0,0,3,6,19689.38,5924.88,8124.58,-0.77,1,20001.16
2967400.0,18.46,7,1,REGION IV-A (CALABARZON),59.46,1.0,2,893173.52,Q1 2024,103981.57,76406.11,94515.14,0,0,3,3,0.4,0.4,0.4,0.4,1,612109.96
2967400.0,18.46,7,1,REGION IV-A (CALABARZON),59.46,1.0,2,893173.52,Q4 2023,129446.46,233518.58,580015.5,0,0,3,3,0.4,0.4,0.4,0.4,1,612109.96
3185985.7143,14.85,7,1,NATIONAL CAPITAL REGION,40.95,0.0,2,601515.05,Q1 2024,27062.85,118170.62,72698.25,1,0,3,2,244141.66,27642.18,25948.74,0.09,3,1851750.19
3588830.0,9.73,6,1,REGION IV-A (CALABARZON),45.07,0.0,2,200708.07,Q4 2023,4128.78,44077.19,124996.36,0,0,3,2,2513.46,999.66,1513.46,-0.34,3,400000.72
3687358.5714,11.13,6,1,REGION VII (CENTRAL VISAYAS),30.03,0.0,2,159269.38,Q4 2023,26271.39,11913.37,1102.17,0,3,3,5,50235.89,9259.91,48242.38,48684.27,3,1989749.96
4276301.4286,14.26,7,1,NATIONAL CAPITAL REGION,35.46,1.0,2,1136014.62,Q1 2024,17330.68,409874.91,202384.03,0,0,3,5,0.73,0.73,0.73,0.73,3,75000.02
4324587.1429,14.66,4,1,NATIONAL CAPITAL REGION,45.74,0.0,2,63001.74,Q1 2024,12477.61,23446.02,38285.51,0,0,3,5,160566.46,0.56,161639.61,164228.89,3,35001.04
4430772.8571,9.99,3,1,NATIONAL CAPITAL REGION,40.42,1.0,1,43463.78,Q1 2024,2394.1800000000003,1082.0,2804.92,0,0,3,6,103612.42,239.32,33569.62,33488.99,3,88000.29
4430772.8571,9.99,3,1,NATIONAL CAPITAL REGION,40.42,1.0,1,43463.78,Q4 2023,14210.33,1580.1399999999999,2512.6000000000004,0,0,3,6,103612.42,239.32,33569.62,33488.99,3,88000.29
4434158.5714,12.49,6,0,NATIONAL CAPITAL REGION,45.03,1.0,2,172757.35,Q1 2024,10436.68,14008.71,83000.08,0,0,3,5,8733.37,2246.57,4589.67,-0.78,3,115000.48
4434158.5714,12.49,6,0,NATIONAL CAPITAL REGION,45.03,1.0,2,172757.35,Q4 2023,14029.29,16338.77,32998.91,0,0,3,5,8733.37,2246.57,4589.67,-0.78,3,115000.48
4639288.5714,6.39,5,1,REGION VIII (EASTERN VISAYAS),42.77,0.0,2,83231.09,Q1 2024,5798.9,109999.1,49999.39,0,0,3,5,-1.98,-1.98,-1.98,-1.98,3,99999.71
5291215.7143,11.42,7,1,NATIONAL CAPITAL REGION,31.91,0.0,2,232988.11,Q1 2024,6000.73,84476.86,2999.96,3,0,3,2,17105.34,21560.59,6419.25,0.31,3,896250.82
5432717.1429,8.06,7,0,NATIONAL CAPITAL REGION,37.71,0.0,2,850672.48,Q1 2024,6052.88,85967.91,2980002.14,3,0,0,3,532556.23,62495.16,465983.19,460472.89,3,1015200.42
5432717.1429,8.06,7,0,NATIONAL CAPITAL REGION,37.71,0.0,2,850672.48,Q4 2023,116.39,191374.16,3176956.21,3,0,0,3,532556.23,62495.16,465983.19,460472.89,3,1015200.42
5479058.5714,9.37,6,1,REGION IX (ZAMBOANGA PENINSULA),38.66,1.0,3,201772.94,Q4 2023,19808.84,10372.18,13798.51,3,0,3,2,84048.54,998.83,70417.55,59084.49,3,988799.87
5774915.7143,10.06,7,1,NATIONAL CAPITAL REGION,39.46,0.0,2,283438.72,Q1 2024,12617.05,19795.48,119989.90000000001,0,3,3,5,20166.28,400.19,20651.08,18907.86,3,999998.07
5774915.7143,10.06,7,1,NATIONAL CAPITAL REGION,39.46,0.0,2,283438.72,Q4 2023,39551.17,1197.1799999999998,182410.62,0,3,3,5,20166.28,400.19,20651.08,18907.86,3,999998.07
5972215.7143,9.99,4,1,REGION IX (ZAMBOANGA PENINSULA),42.17,0.0,2,23989.17,Q1 2024,30.48,11680.220000000001,7398.3,0,0,3,5,5236.48,5236.48,1.26,1.26,3,49998.43
6027944.2857,7.42,5,1,REGION IV-A (CALABARZON),38.51,0.0,2,128748.26,Q4 2023,7497.76,68768.84,20999.76,0,0,3,5,148737.66,65590.37,98315.96,91350.04,3,67998.72
6027944.2857,7.42,5,1,REGION IV-A (CALABARZON),38.51,0.0,2,128748.26,Q1 2024,484.51,162613.69,80002.52,0,0,3,5,148737.66,65590.37,98315.96,91350.04,3,67998.72
6797272.8571,6.87,4,1,NO_DATA,35.02,1.0,2,80120.7,Q1 2024,13843.81,67964.2,25550.16,0,3,3,5,-1.64,-1.64,-1.64,-1.64,3,1555066.4
6797272.8571,6.87,4,1,NO_DATA,35.02,1.0,2,80120.7,Q4 2023,17846.42,5461.18,55973.920000000006,0,3,3,5,-1.64,-1.64,-1.64,-1.64,3,1555066.4
7348087.1429,7.3,7,1,NATIONAL CAPITAL REGION,33.42,0.0,2,404503.98,Q1 2024,26174.15,129695.12,145224.62,0,3,3,2,86074.08,68008.44,96098.33,1.08,3,3176573.2
7348087.1429,7.3,7,1,NATIONAL CAPITAL REGION,33.42,0.0,2,404503.98,Q4 2023,36075.64,240087.00999999998,146129.02,0,3,3,2,86074.08,68008.44,96098.33,1.08,3,3176573.2
7419672.8571,7.36,5,1,NATIONAL CAPITAL REGION,31.37,1.0,2,139482.77,Q1 2024,5351.07,41074.75,283095.47,0,0,3,6,110124.22,19746.02,25842.54,20196.07,3,30000.43
7419672.8571,7.36,5,1,NATIONAL CAPITAL REGION,31.37,1.0,2,139482.77,Q4 2023,5137.139999999999,30995.09,268454.27,0,0,3,6,110124.22,19746.02,25842.54,20196.07,3,30000.43
7695844.2857,6.35,7,1,REGION VII (CENTRAL VISAYAS),31.48,1.0,2,262624.75,Q1 2024,4339.42,52936.54,32201.64,3,0,3,5,141916.98,69718.03,122862.53,63067.61,3,936000.96
7695844.2857,6.35,7,1,REGION VII (CENTRAL VISAYAS),31.48,1.0,2,262624.75,Q4 2023,3464.39,232884.43,13743.59,3,0,3,5,141916.98,69718.03,122862.53,63067.61,3,936000.96
7943288.5714,7.2,5,1,REGION X (NORTHERN MINDANAO),32.38,0.0,2,121433.84,Q1 2024,22744.87,44261.53,124207.49,0,0,3,5,129912.93,0.77,5415.43,0.77,3,103999.99
7943288.5714,7.2,5,1,REGION X (NORTHERN MINDANAO),32.38,0.0,2,121433.84,Q4 2023,21971.85,67045.87,110732.32,0,0,3,5,129912.93,0.77,5415.43,0.77,3,103999.99
7958431.4286,4.8,7,1,REGION IV-A (CALABARZON),34.44,0.0,2,230502.39,Q4 2023,17998.48,132994.02,5001.31,0,0,3,5,-0.52,-0.52,-0.52,-0.52,3,69999.82
8662244.2857,6.41,7,1,NATIONAL CAPITAL REGION,28.25,0.0,2,311384.58,Q1 2024,6136.08,97537.39,55693.87,0,0,3,5,155495.07,16117.08,41507.87,39932.56,3,110000.57
8662244.2857,6.41,7,1,NATIONAL CAPITAL REGION,28.25,0.0,2,311384.58,Q4 2023,5206.66,20322.309999999998,11907.29,0,0,3,5,155495.07,16117.08,41507.87,39932.56,3,110000.57
8747971.4286,14.58,5,1,NATIONAL CAPITAL REGION,41.94,0.0,2,119221.23,Q1 2024,31768.93,4542.25,129696.06,0,0,3,6,11876.02,3091.19,14123.44,12023.53,3,65999.44
8747971.4286,14.58,5,1,NATIONAL CAPITAL REGION,41.94,0.0,2,119221.23,Q4 2023,60961.17,10381.88,151624.05,0,0,3,6,11876.02,3091.19,14123.44,12023.53,3,65999.44
9382444.2857,10.37,5,1,REGION III (CENTRAL LUZON),41.78,1.0,2,82649.24,Q4 2023,775.79,3535.66,5999.43,0,0,3,5,-0.39,-0.39,-0.39,-0.39,3,39999.6
9690602.8571,1.41,5,1,REGION I (ILOCOS REGION),25.72,1.0,2,103649.87,Q4 2023,51918.85,2296.92,71401.03,0,0,3,6,181675.44,9869.53,25410.44,19588.03,3,109997.61
10012687.1429,7.98,3,1,REGION IV-A (CALABARZON),34.94,1.0,1,30501.72,Q4 2023,6998.69,24999.53,8936.54,0,0,3,6,0.69,0.69,0.69,0.69,3,75000.61
10194715.7143,13.18,7,1,REGION X (NORTHERN MINDANAO),34.46,0.0,2,287815.53,Q1 2024,317.49,91152.84000000001,93000.97,0,0,3,5,419854.31,8103.34,31177.66,1.52,3,60000.09
10888544.2857,6.95,7,1,REGION X (NORTHERN MINDANAO),30.94,1.0,2,346315.95,Q1 2024,3949.22,11410.09,24798.28,0,0,3,5,653.48,-0.26,19486.43,16125.41,3,120002.2
10888544.2857,6.95,7,1,REGION X (NORTHERN MINDANAO),30.94,1.0,2,346315.95,Q4 2023,6647.860000000001,1060.3899999999999,30001.15,0,0,3,5,653.48,-0.26,19486.43,16125.41,3,120002.2
10953400.0,15.86,7,0,REGION XI (DAVAO REGION),39.07,1.0,2,347313.88,Q1 2024,25841.72,98145.87,281076.44,3,0,3,3,3004.59,73575.13,-0.84,-0.58,3,1425599.87
11102017.1429,4.82,4,0,REGION VI (WESTERN VISAYAS),48.93,0.0,2,73048.0,Q4 2023,8841.28,215999.69,80003.7,0,0,3,5,-1.8,-1.8,-1.8,-1.8,3,100001.17
11120557.1429,13.65,7,1,NATIONAL CAPITAL REGION,46.04,0.0,2,249998.04,Q1 2024,14476.2,25396.89,3435.69,0,0,3,5,92192.35,39217.44,55373.86,38919.97,3,459999.8
11120557.1429,13.65,7,1,NATIONAL CAPITAL REGION,46.04,0.0,2,249998.04,Q4 2023,12731.46,95927.37,5251.29,0,0,3,5,92192.35,39217.44,55373.86,38919.97,3,459999.8
12112017.1429,5.0,4,1,REGION XII (SOCCSKSARGEN),30.17,0.0,2,81152.79,Q1 2024,5697.79,16491.760000000002,22584.54,0,0,3,5,34467.84,0.75,35922.11,34785.09,3,194999.17
12175172.8571,12.31,6,1,NATIONAL CAPITAL REGION,32.35,1.0,2,165858.35,Q1 2024,2245.69,45801.93,10280.24,3,0,3,6,0.53,577.83,1144.81,0.53,3,1062399.13
12175172.8571,12.31,6,1,NATIONAL CAPITAL REGION,32.35,1.0,2,165858.35,Q4 2023,2056.82,76078.44,1037.76,0,0,3,6,0.53,577.83,1144.81,0.53,3,1062399.13
12398557.1429,14.9,5,1,CORDILLERA ADMINISTRATIVE REGION (CAR),33.87,0.0,2,89042.12,Q1 2024,15205.54,550.17,47742.26,0,0,3,6,-0.15,-0.15,-0.15,-0.15,3,29998.9
12398557.1429,14.9,5,1,CORDILLERA ADMINISTRATIVE REGION (CAR),33.87,0.0,2,89042.12,Q4 2023,7051.63,15699.71,45701.81,0,0,3,6,-0.15,-0.15,-0.15,-0.15,3,29998.9
12536772.8571,10.87,5,1,NATIONAL CAPITAL REGION,31.49,0.0,2,103799.49,Q4 2023,3766.99,117118.75,83381.45,0,0,3,5,-0.78,-0.78,-0.78,-0.78,3,230000.13
12859344.2857,12.21,7,1,REGION IV-A (CALABARZON),49.3,1.0,2,337026.65,Q4 2023,6593.1,252548.74,239155.68000000002,0,0,3,1,-0.37,-0.37,-0.37,-0.37,3,149999.69
12915887.1429,12.97,6,1,REGION VII (CENTRAL VISAYAS),33.64,1.0,2,164101.43,Q1 2024,8176.83,597.7,55821.93,0,0,3,6,29904.04,302.29,29718.38,31244.29,3,159998.86
12915887.1429,12.97,6,1,REGION VII (CENTRAL VISAYAS),33.64,1.0,2,164101.43,Q4 2023,8406.26,1632.72,36494.729999999996,0,0,3,6,29904.04,302.29,29718.38,31244.29,3,159998.86
13211428.5714,24.17,4,0,NATIONAL CAPITAL REGION,44.81,0.0,2,61180.85,Q1 2024,881.62,39073.85,29199.940000000002,0,0,3,5,0.58,0.58,0.58,0.58,3,50001.18
13462787.1429,11.01,5,1,NATIONAL CAPITAL REGION,34.5,0.0,2,82974.34,Q1 2024,16169.2,71605.51,10599.58,0,3,3,5,141015.64,18168.06,44456.85,41754.25,3,3290000.87
13823101.4286,8.03,7,1,NATIONAL CAPITAL REGION,29.55,0.0,2,1165101.22,Q4 2023,18799.18,240816.34,540077.67,0,0,3,2,0.59,0.59,0.59,0.59,3,103999.61
13823101.4286,8.03,7,1,NATIONAL CAPITAL REGION,29.55,0.0,2,1165101.22,Q1 2024,15829.83,457837.79,574734.65,0,0,3,2,0.59,0.59,0.59,0.59,3,103999.61
13868602.8571,3.1,4,1,REGION VIII (EASTERN VISAYAS),30.81,0.0,2,74671.67,Q4 2023,158.54999999999998,43869.85,12485.470000000001,0,0,3,6,-0.31,-0.31,-0.31,-0.31,3,30000.33
14152858.5714,11.73,6,1,REGION IV-A (CALABARZON),30.77,0.0,2,157957.37,Q1 2024,3046.96,31961.8,32896.46,0,0,3,5,460120.25,841.89,28590.48,-1.11,3,101998.17
14239128.5714,14.92,6,1,NATIONAL CAPITAL REGION,41.29,0.0,2,169354.4,Q1 2024,16860.69,31753.16,125878.74,3,0,3,3,0.58,0.58,0.58,0.58,3,1107548.81
14239128.5714,14.92,6,1,NATIONAL CAPITAL REGION,41.29,0.0,2,169354.4,Q4 2023,22195.74,67761.58,133068.74,3,0,3,3,0.58,0.58,0.58,0.58,3,1107548.81
14723617.1429,0.77,5,1,REGION IV-A (CALABARZON),35.73,0.0,2,116403.37,Q1 2024,2412.96,25860.17,106805.12,3,0,3,5,-0.24,-0.24,-0.24,-0.24,3,887998.86
14723617.1429,0.77,5,1,REGION IV-A (CALABARZON),35.73,0.0,2,116403.37,Q4 2023,1755.55,44314.81,169949.61,3,0,3,5,-0.24,-0.24,-0.24,-0.24,3,887998.86
14784172.8571,11.14,7,1,REGION IV-A (CALABARZON),33.39,1.0,2,710950.33,Q4 2023,11020.76,54781.36,506920.99,0,0,3,2,41861.74,0.56,42121.98,41470.56,3,299998.98
14784172.8571,11.14,7,1,REGION IV-A (CALABARZON),33.39,1.0,2,710950.33,Q1 2024,1193.56,143414.9,413518.14,0,0,3,2,41861.74,0.56,42121.98,41470.56,3,299998.98
15092730.0,10.12,6,1,REGION IV-A (CALABARZON),32.68,0.0,2,122425.64,Q1 2024,3426.15,89540.18000000001,4295.76,3,0,3,3,-0.28,-0.28,-0.28,-0.28,3,1031999.68
15096271.4286,13.89,7,1,REGION X (NORTHERN MINDANAO),45.25,1.0,2,249999.25,Q1 2024,11538.94,131683.93,805.99,0,0,3,6,0.62,548.62,0.62,0.62,3,26001.24
15096271.4286,13.89,7,1,REGION X (NORTHERN MINDANAO),45.25,1.0,2,249999.25,Q4 2023,17894.44,79544.93,26861.73,0,0,3,6,0.62,548.62,0.62,0.62,3,26001.24
15190474.2857,1.81,5,1,REGION III (CENTRAL LUZON),31.48,1.0,2,110632.02,Q4 2023,15511.48,227504.72999999998,117702.92,0,0,3,5,55165.17,41937.99,27586.59,0.06,3,39999.15
15387115.7143,5.63,5,1,REGION V (BICOL REGION),33.61,0.0,2,119489.1,Q4 2023,6556.080000000001,6663.0,24102.27,0,0,3,6,10065.03,1288.04,9554.74,9360.58,3,34997.4
15387115.7143,5.63,5,1,REGION V (BICOL REGION),33.61,0.0,2,119489.1,Q1 2024,9677.74,51142.38,37105.33,2,0,3,6,10065.03,1288.04,9554.74,9360.58,3,34997.4
15563302.8571,6.2,6,1,NATIONAL CAPITAL REGION,37.24,1.0,2,199810.95,Q4 2023,82.89,23896.78,103196.98999999999,3,0,3,2,0.95,0.95,0.95,0.95,3,888300.82
15563302.8571,6.2,6,1,NATIONAL CAPITAL REGION,37.24,1.0,2,199810.95,Q1 2024,15000.15,55118.25,88833.51000000001,3,0,3,2,0.95,0.95,0.95,0.95,3,888300.82
15624431.4286,5.59,4,1,NATIONAL CAPITAL REGION,29.66,0.0,2,77113.45,Q1 2024,9016.18,8399.59,11172.08,0,0,3,6,36155.73,14545.21,6077.73,5527.49,3,39999.42
15624431.4286,5.59,4,1,NATIONAL CAPITAL REGION,29.66,0.0,2,77113.45,Q4 2023,33909.61,26082.719999999998,33614.39,0,0,3,6,36155.73,14545.21,6077.73,5527.49,3,39999.42
15779572.8571,13.79,5,1,REGION VI (WESTERN VISAYAS),31.4,0.0,2,71369.63,Q4 2023,98.72,2543.81,2002.0,0,0,3,2,58846.96,1197.09,55379.32,56869.43,3,70000.81
15960387.1429,7.12,5,1,REGION IV-A (CALABARZON),32.72,0.0,1,93654.67,Q1 2024,26174.61,3512.62,43329.79,0,0,3,5,1.32,1.32,1.32,1.32,3,29999.8
15977717.1429,6.2,5,0,REGION III (CENTRAL LUZON),44.46,1.0,2,124960.55,Q1 2024,13342.72,17475.07,134152.14,0,0,3,5,-0.6,-0.6,-0.6,-0.6,3,19999.25
16149874.2857,4.41,7,1,REGION III (CENTRAL LUZON),31.96,1.0,3,247267.75,Q1 2024,1250.63,410452.48,886395.84,0,0,3,5,222975.88,64088.86,161546.05,161565.53,3,388000.71
16149874.2857,4.41,7,1,REGION III (CENTRAL LUZON),31.96,1.0,3,247267.75,Q4 2023,1250.45,52096.32,28118.16,0,0,3,5,222975.88,64088.86,161546.05,161565.53,3,388000.71
16203228.5714,20.23,4,1,REGION VII (CENTRAL VISAYAS),45.64,1.0,2,52764.37,Q1 2024,3614.57,18529.43,35775.14,0,0,3,5,1188.52,548.98,1459.34,1005.98,3,99998.69
16427514.2857,17.62,6,1,REGION III (CENTRAL LUZON),53.17,0.0,1,140601.0,Q4 2023,25681.35,157926.23,94219.33,0,0,3,1,882144.96,167698.75,49378.36,-0.25,3,229999.45
16521630.0,8.62,7,1,REGION III (CENTRAL LUZON),26.78,0.0,2,485645.05,Q1 2024,15579.05,79050.0,104947.86,3,0,3,2,69096.43,1795.44,44936.53,46221.44,3,943999.3
16521630.0,8.62,7,1,REGION III (CENTRAL LUZON),26.78,0.0,2,485645.05,Q4 2023,594.23,27323.16,381863.35,3,0,3,2,69096.43,1795.44,44936.53,46221.44,3,943999.3
16620801.4286,8.13,4,1,NATIONAL CAPITAL REGION,30.16,1.0,2,43332.49,Q1 2024,1989.15,1203.1399999999999,3501.69,0,0,3,5,87108.17,0.44,84216.84,85044.78,3,103000.38
16620801.4286,8.13,4,1,NATIONAL CAPITAL REGION,30.16,1.0,2,43332.49,Q4 2023,149.32,50542.22,36598.05,0,0,3,5,87108.17,0.44,84216.84,85044.78,3,103000.38
16645958.5714,8.43,5,1,NATIONAL CAPITAL REGION,40.94,0.0,2,122952.32,Q4 2023,2442.77,36859.79,5000.8,3,0,3,5,170463.69,12091.18,159264.19,152516.56,3,802399.83
16928644.2857,10.11,5,1,NATIONAL CAPITAL REGION,26.92,0.0,2,102030.01,Q1 2024,123246.58000000002,1981.41,17048.91,0,0,3,5,1.76,1.76,1.76,1.76,3,65001.64
16928644.2857,10.11,5,1,NATIONAL CAPITAL REGION,26.92,0.0,2,102030.01,Q4 2023,8380.52,2791.86,10812.82,0,0,3,5,1.76,1.76,1.76,1.76,3,65001.64
17162044.2857,11.76,4,1,NATIONAL CAPITAL REGION,37.35,0.0,2,50000.35,Q4 2023,87.11,4481.77,26400.6,0,0,3,5,58369.13,3821.26,56060.26,57929.26,3,55000.82
17685188.5714,0.41,4,1,REGION III (CENTRAL LUZON),28.52,1.0,2,57835.03,Q1 2024,2048.6,7749.76,24813.93,1,0,3,5,5912.57,4362.57,0.57,0.57,3,1263208.49
17773087.1429,10.37,7,1,NATIONAL CAPITAL REGION,37.03,1.0,2,225887.86,Q4 2023,1711.21,24479.93,65101.009999999995,0,0,3,5,39402.49,22565.31,14357.72,11792.52,3,70002.74
17885017.1429,4.66,7,1,NATIONAL CAPITAL REGION,27.92,0.0,2,603328.37,Q4 2023,16231.76,29890.61,443443.44,0,0,3,5,-0.3,-0.3,-0.3,-0.3,3,14998.88
17885017.1429,4.66,7,1,NATIONAL CAPITAL REGION,27.92,0.0,2,603328.37,Q1 2024,31690.01,14506.35,5598.23,0,0,3,5,-0.3,-0.3,-0.3,-0.3,3,14998.88
17903714.2857,32.09,7,1,NATIONAL CAPITAL REGION,63.94,0.0,2,798812.7,Q4 2023,85306.88,460913.31,168185.98,0,0,3,3,95443.61,2437.94,334201.48,248051.27,3,1000000.56
18027115.7143,7.58,5,0,REGION IV-A (CALABARZON),32.63,0.0,1,107660.93,Q1 2024,1155.74,1231.95,43027.7,0,0,3,5,1230.51,0.1,0.1,0.1,3,24999.56
18169174.2857,2.78,3,0,REGION III (CENTRAL LUZON),23.19,1.0,2,47560.36,Q4 2023,2036.98,16493.6,8183.81,0,0,3,6,20906.32,9381.73,7575.51,7091.31,3,89998.92
18643271.4286,14.87,5,1,NATIONAL CAPITAL REGION,37.05,0.0,2,117361.82,Q4 2023,4802.95,144528.28,2798.2,0,0,3,2,0.14,0.14,0.14,0.14,3,219999.82
18739130.0,4.9,5,1,NATIONAL CAPITAL REGION,32.29,0.0,2,102478.59,Q1 2024,8591.62,49852.049999999996,12138.92,0,0,3,6,156709.97,1.09,168113.03,167538.43,1,20000.69
19099544.2857,8.68,7,1,REGION VII (CENTRAL VISAYAS),28.49,0.0,2,413192.23,Q4 2023,6789.83,72493.82,868199.18,3,0,3,5,28954.18,50998.0,35718.48,-0.5,3,1389600.05
19211858.5714,13.62,4,0,NATIONAL CAPITAL REGION,48.96,0.0,2,61975.88,Q1 2024,22217.62,10164.43,364803.33,0,0,3,6,184208.04,7599.86,176890.58,190581.17,3,49999.52
19211858.5714,13.62,4,0,NATIONAL CAPITAL REGION,48.96,0.0,2,61975.88,Q4 2023,1200.35,25258.02,29898.13,0,0,3,6,184208.04,7599.86,176890.58,190581.17,3,49999.52
20525215.7143,9.53,6,1,REGION I (ILOCOS REGION),45.87,1.0,2,184727.44,Q1 2024,2232.31,65111.46,1001.41,0,0,3,2,110352.37,55069.54,62616.53,32711.81,3,85000.43
20692357.1429,20.06,7,1,REGION VI (WESTERN VISAYAS),44.57,0.0,2,352644.88,Q1 2024,14097.88,220462.41,183765.0,3,0,3,3,-0.85,-0.85,-0.85,-0.85,3,984998.9
20692357.1429,20.06,7,1,REGION VI (WESTERN VISAYAS),44.57,0.0,2,352644.88,Q4 2023,12471.48,50409.51,355577.25,3,0,3,3,-0.85,-0.85,-0.85,-0.85,3,984998.9
20880860.0,6.67,5,1,REGION VI (WESTERN VISAYAS),28.15,0.0,1,88080.42,Q4 2023,9157.99,47806.34,27026.55,1,0,3,5,3090.19,3649.19,5549.19,0.19,3,958399.83
20921630.0,10.0,1,0,CORDILLERA ADMINISTRATIVE REGION (CAR),29.16,0.0,2,9998.16,Q4 2023,460.83,133082.13,4297.8,0,0,3,6,174906.87,36171.76,18151.14,-0.6,3,70001.21
21170601.4286,10.8,6,1,NATIONAL CAPITAL REGION,39.73,1.0,2,180816.3,Q1 2024,1299.6,1915.23,6003.66,0,0,3,5,20687.07,88.2,21531.31,22928.2,3,19999.77
